Rank,Name,year,Rating
1,Cadena perpetua,1994,9.2
2,El padrino,1972,9.2
3,El caballero oscuro,2008,9.0
4,El padrino: Parte II,1974,9.0
5,12 hombres sin piedad,1957,8.9
6,La lista de Schindler,1993,8.9
7,El señor de los anillos: El retorno del rey,2003,8.9
8,Pulp Fiction,1994,8.9
9,El señor de los anillos: La comunidad del anillo,2001,8.8
10,"El bueno, el feo y el malo",1966,8.8
11,Forrest Gump,1994,8.8
12,El club de la lucha,1999,8.8
13,Origen,2010,8.7
14,El señor de los anillos: Las dos torres,2002,8.7
15,El Imperio contraataca,1980,8.7
16,Matrix,1999,8.7
17,Uno de los nuestros,1990,8.7
18,Alguien voló sobre el nido del cuco,1975,8.6
19,Seven,1995,8.6
20,Los siete samuráis,1954,8.6
21,¡Qué bello es vivir!,1946,8.6
22,El silencio de los corderos,1991,8.6
23,Ciudad de Dios,2002,8.6
24,Salvar al soldado Ryan,1998,8.6
25,La vida es bella,1997,8.6
26,La milla verde,1999,8.6
27,Interstellar,2014,8.6
28,La guerra de las galaxias,1977,8.6
29,Terminator 2: El juicio final,1991,8.5
30,Regreso al futuro,1985,8.5
31,El viaje de Chihiro,2001,8.5
32,Psicosis,1960,8.5
33,El pianista,2002,8.5
34,El profesional (Léon),1994,8.5
35,Parásitos,2019,8.5
36,El rey león,1994,8.5
37,Gladiator (El gladiador),2000,8.5
38,American History X,1998,8.5
39,Sospechosos habituales,1995,8.5
40,Infiltrados,2006,8.5
41,El truco final (El prestigio),2006,8.5
42,Casablanca,1942,8.5
43,Top Gun: Maverick,2022,8.5
44,Whiplash,2014,8.5
45,Intocable,2011,8.5
46,Tiempos modernos,1936,8.5
47,Harakiri,1962,8.4
48,Hasta que llegó su hora,1968,8.4
49,La tumba de las luciérnagas,1988,8.4
50,La ventana indiscreta,1954,8.4
51,"Alien, el octavo pasajero",1979,8.4
52,Luces de la ciudad,1931,8.4
53,Cinema Paradiso,1988,8.4
54,Memento,2000,8.4
55,Apocalypse Now,1979,8.4
56,En busca del arca perdida,1981,8.4
57,Django desencadenado,2012,8.4
58,WALL·E,2008,8.4
59,La vida de los otros,2006,8.4
60,El crepúsculo de los dioses,1950,8.4
61,Senderos de gloria,1957,8.4
62,El resplandor,1980,8.4
63,El gran dictador,1940,8.4
64,Testigo de cargo,1957,8.4
65,Vengadores: Infinity War,2018,8.4
66,Aliens: El regreso,1986,8.3
67,American Beauty,1999,8.3
68,¿Teléfono rojo? Volamos hacia Moscú,1964,8.3
69,El caballero oscuro: La leyenda renace,2012,8.3
70,Spider-Man: Un nuevo universo,2018,8.3
71,Joker,2019,8.3
72,Old Boy,2003,8.3
73,Braveheart,1995,8.3
74,Amadeus,1984,8.3
75,Toy Story,1995,8.3
76,Coco,2017,8.3
77,El submarino (Das Boot),1981,8.3
78,Malditos bastardos,2009,8.3
79,La princesa Mononoke,1997,8.3
80,Érase una vez en América,1984,8.3
81,Vengadores: Endgame,2019,8.3
82,El indomable Will Hunting,1997,8.3
83,Réquiem por un sueño,2000,8.3
84,Toy Story 3,2010,8.3
85,Your Name.,2016,8.3
86,Cantando bajo la lluvia,1952,8.3
87,3 Idiots,2009,8.3
88,El retorno del jedi,1983,8.3
89,2001: Una odisea del espacio,1968,8.3
90,Reservoir Dogs,1992,8.3
91,¡Olvídate de mí!,2004,8.3
92,El infierno del odio,1963,8.3
93,Ciudadano Kane,1941,8.3
94,Cafarnaúm,2018,8.3
95,Lawrence de Arabia,1962,8.3
96,La caza,2012,8.3
97,"M, el vampiro de Düsseldorf",1931,8.3
98,Con la muerte en los talones,1959,8.3
99,Vértigo (De entre los muertos),1958,8.2
100,Amelie,2001,8.2
101,La naranja mecánica,1971,8.2
102,Masacre (Ven y mira),1985,8.2
103,La chaqueta metálica,1987,8.2
104,Perdición,1944,8.2
105,El apartamento,1960,8.2
106,El precio del poder,1983,8.2
107,Ikiru (Vivir),1952,8.2
108,Matar a un ruiseñor,1962,8.2
109,El golpe,1973,8.2
110,Taxi Driver,1976,8.2
111,Todo a la vez en todas partes,2022,8.2
112,L.A. Confidential,1997,8.2
113,Up,2009,8.2
114,Heat,1995,8.2
115,Hamilton,2020,8.2
116,Metrópolis,1927,8.2
117,"Snatch, cerdos y diamantes",2000,8.2
118,"Nader y Simin, una separación",2011,8.2
119,Jungla de cristal,1988,8.2
120,Spider-Man: No Way Home,2021,8.2
121,Incendios,2010,8.2
122,Indiana Jones y la última cruzada,1989,8.2
123,Ladrón de bicicletas,1948,8.2
124,1917,2019,8.2
125,Taare Zameen Par,2007,8.2
126,El hundimiento,2004,8.2
127,La muerte tenía un precio,1965,8.2
128,Batman Begins,2005,8.2
129,Dangal,2016,8.2
130,El chico,1921,8.2
131,Con faldas y a lo loco,1959,8.2
132,El padre,2020,8.2
133,Eva al desnudo,1950,8.2
134,Green Book,2018,8.2
135,El lobo de Wall Street,2013,8.2
136,Vencedores o vencidos,1961,8.2
137,Sin perdón,1992,8.2
138,Casino,1995,8.2
139,Ran,1985,8.2
140,El laberinto del fauno,2006,8.2
141,Pozos de ambición,2007,8.2
142,El sexto sentido,1999,8.2
143,Una mente maravillosa,2001,8.2
144,Los caballeros de la mesa cuadrada y sus locos seguidores,1975,8.2
145,El show de Truman,1998,8.2
146,Yojimbo,1961,8.1
147,El tesoro de Sierra Madre,1948,8.1
148,Rashomon,1950,8.1
149,La gran evasión,1963,8.1
150,Shutter Island,2010,8.1
151,Jurassic Park (Parque Jurásico),1993,8.1
152,Kill Bill: Volumen 1,2003,8.1
153,No es país para viejos,2007,8.1
154,El hombre elefante,1980,8.1
155,Buscando a Nemo,2003,8.1
156,Toro salvaje,1980,8.1
157,Chinatown,1974,8.1
158,Lo que el viento se llevó,1939,8.1
159,V de Vendetta,2005,8.1
160,Del revés (Inside Out),2015,8.1
161,La cosa (El enigma de otro mundo),1982,8.1
162,Lock & Stock,1998,8.1
163,Crimen perfecto,1954,8.1
164,El secreto de sus ojos,2009,8.1
165,El puente sobre el río Kwai,1957,8.1
166,El castillo ambulante,2004,8.1
167,Tres anuncios en las afueras,2017,8.1
168,Trainspotting,1996,8.1
169,Gran Torino,2008,8.1
170,Warrior,2011,8.1
171,Fargo,1996,8.1
172,Mi vecino Totoro,1988,8.1
173,Prisioneros,2013,8.1
174,Million Dollar Baby,2004,8.1
175,La quimera del oro,1925,8.1
176,Blade Runner,1982,8.1
177,Atrápame si puedes,2002,8.1
178,La ley del silencio,1954,8.1
179,El tercer hombre,1949,8.1
180,Children of Heaven,1997,8.1
181,Ben-Hur,1959,8.1
182,El maquinista de La General,1926,8.1
183,12 años de esclavitud,2013,8.1
184,Fresas salvajes,1957,8.1
185,Perdida,2014,8.1
186,Antes de amanecer,1995,8.1
187,El cazador,1978,8.1
188,Harry Potter y las Reliquias de la Muerte - Parte 2,2011,8.1
189,En el nombre del padre,1993,8.1
190,El gran hotel Budapest,2014,8.1
191,Caballero sin espada,1939,8.1
192,El salario del miedo,1953,8.1
193,El moderno Sherlock Holmes,1924,8.1
194,Barry Lyndon,1975,8.1
195,Memories of Murder (Crónica de un asesino en serie),2003,8.1
196,La habitación,2015,8.1
197,Hasta el último hombre,2016,8.1
198,Klaus,2019,8.1
199,El séptimo sello,1957,8.1
200,Relatos salvajes,2014,8.1
201,El gran Lebowski,1998,8.1
202,Cómo entrenar a tu dragón,2010,8.1
203,Mad Max: Furia en la carretera,2015,8.1
204,Mary and Max,2009,8.1
205,"Monstruos, S.A.",2001,8.1
206,Tiburón,1975,8.1
207,La pasión de Juana de Arco,1928,8.1
208,Hotel Rwanda,2004,8.1
209,Pather Panchali (La canción del camino),1955,8.1
210,El club de los poetas muertos,1989,8.1
211,Cuentos de Tokio,1953,8.1
212,Platoon,1986,8.0
213,Rocky,1976,8.0
214,Le Mans '66,2019,8.0
215,Cuenta conmigo,1986,8.0
216,Terminator,1984,8.0
217,Rush,2013,8.0
218,Spotlight,2015,8.0
219,Hacia rutas salvajes,2007,8.0
220,"Network, un mundo implacable",1976,8.0
221,El mago de Oz,1939,8.0
222,Logan,2017,8.0
223,Atrapado en el tiempo,1993,8.0
224,Ratatouille,2007,8.0
225,El exorcista,1973,8.0
226,Antes del atardecer,2004,8.0
227,Los mejores años de nuestra vida,1946,8.0
228,Los Increíbles,2004,8.0
229,Ser o no ser,1942,8.0
230,La batalla de Argel,1966,8.0
231,Rebeca,1940,8.0
232,Las uvas de la ira,1940,8.0
233,Siempre a tu lado (Hachiko),2009,8.0
234,La leyenda del indomable,1967,8.0
235,Amores perros,2000,8.0
236,Piratas del Caribe: La maldición de la Perla Negra,2003,8.0
237,Los cuatrocientos golpes,1959,8.0
238,El odio,1995,8.0
239,Persona,1966,8.0
240,Dersu Uzala (El cazador),1975,8.0
241,La vida de Brian,1979,8.0
242,Mi padre y mi hijo,2005,8.0
243,Sonrisas y lágrimas,1965,8.0
244,Sucedió una noche,1934,8.0
245,La doncella,2016,8.0
246,Aladdín,1992,8.0
247,Gandhi,1982,8.0
248,Criadas y señoras,2011,8.0
249,La bella y la bestia,1991,8.0
250,Jai Bhim,2021,8.0
